analysis_tier,dataset,model,corruption_scope,severity,method,bin,lower,upper,count,confidence,accuracy,mean_ece_from_metrics,std_ece_from_metrics,n_replicates,source_condition_count
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,4,0.26666666666666666,0.3333333333333333,11,0.31241809779947455,0.5454545454545454,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,5,0.3333333333333333,0.4,69,0.3721116992874422,0.5362318840579711,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,6,0.4,0.4666666666666667,117,0.4374278750684526,0.5213675213675214,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,7,0.4666666666666667,0.5333333333333333,118,0.5001119175704859,0.6101694915254238,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,8,0.5333333333333333,0.6,144,0.564725628743569,0.6319444444444444,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,9,0.6,0.6666666666666666,118,0.6349078108698635,0.7796610169491526,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,10,0.6666666666666666,0.7333333333333333,134,0.7008412876235905,0.8208955223880597,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,11,0.7333333333333333,0.8,148,0.7660612572689314,0.8040540540540541,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,12,0.8,0.8666666666666667,156,0.8322982879785391,0.8397435897435898,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,13,0.8666666666666667,0.9333333333333333,166,0.8995536052318941,0.8795180722891566,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,3,temperature,14,0.9333333333333333,1.0,331,0.9741494230633416,0.9486404833836858,0.16914201316625388,0.02733289238781481,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,0,0.0,0.06666666666666667,0,,,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,1,0.06666666666666667,0.13333333333333333,0,,,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,2,0.13333333333333333,0.2,0,,,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,3,0.2,0.26666666666666666,0,,,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,4,0.26666666666666666,0.3333333333333333,66,0.31349806984265643,0.19696969696969696,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,5,0.3333333333333333,0.4,188,0.36773407601929725,0.43617021276595747,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,6,0.4,0.4666666666666667,237,0.4327706151370761,0.46835443037974683,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,7,0.4666666666666667,0.5333333333333333,207,0.49857046566723623,0.5169082125603864,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,8,0.5333333333333333,0.6,177,0.5630973732404116,0.519774011299435,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,9,0.6,0.6666666666666666,126,0.6346604630114541,0.626984126984127,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,10,0.6666666666666666,0.7333333333333333,121,0.6974977974064094,0.6611570247933884,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,11,0.7333333333333333,0.8,129,0.7626587272614471,0.6744186046511628,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,12,0.8,0.8666666666666667,104,0.830488407267974,0.7980769230769231,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,13,0.8666666666666667,0.9333333333333333,85,0.8984637036043055,0.9058823529411765,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,raw_softmax,14,0.9333333333333333,1.0,72,0.9571367791957326,0.9305555555555556,0.18362230621042006,0.018593069157829496,5,35
secondary/exploratory,hushem,resnet50,pooled_7_device_corruptions,5,temperature,0,0.0,0.06666666666666667,0,,,0.19791169490106006,0.030481765252191175,5,35
