analysis_tier,dataset,model,corruption_scope,severity,mean,std,n_replicates,method
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,3,0.7880543607855481,0.017848767214702133,5,raw_softmax
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,4,0.7657475290573039,0.014143473925879836,5,raw_softmax
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,5,0.6965287430775905,0.020454398909112267,5,raw_softmax
secondary/exploratory,smids,xception,clean,0,0.8338657548289471,0.010507271810581996,3,energy
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,1,0.8091712062802997,0.01860989455728712,3,energy
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,2,0.7938585160037643,0.01577326704223007,3,energy
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,3,0.7730003660881667,0.020436470093938754,3,energy
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,4,0.7370716110021687,0.04576920362779307,3,energy
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,5,0.6793752208254054,0.04482173660897744,3,energy
secondary/exploratory,smids,xception,clean,0,0.4967757624117273,0.030045024911107693,3,mahalanobis
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,1,0.4595943700703691,0.036733092969841695,3,mahalanobis
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,2,0.45770574291797644,0.03534376786385063,3,mahalanobis
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,3,0.44220673535570665,0.02468288475016403,3,mahalanobis
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,4,0.44325308263192525,0.03271909088334136,3,mahalanobis
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,5,0.453047173274094,0.04259704708222096,3,mahalanobis
secondary/exploratory,smids,xception,clean,0,0.8427156188611297,0.023165723233544194,3,mc_dropout
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,1,0.8297564340310785,0.024294564630139844,3,mc_dropout
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,2,0.8140775609287361,0.02051466935971742,3,mc_dropout
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,3,0.7910550761064649,0.021312222761900704,3,mc_dropout
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,4,0.7510283047757441,0.03594599833916014,3,mc_dropout
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,5,0.6913981242225836,0.04499977816153412,3,mc_dropout
secondary/exploratory,smids,xception,clean,0,0.8480558479952185,0.013843024556722539,3,raw_softmax
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,1,0.8387059928612267,0.01581177708523156,3,raw_softmax
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,2,0.8202006485994787,0.010621450591974207,3,raw_softmax
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,3,0.7992795996766384,0.012205549013945034,3,raw_softmax
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,4,0.7582927950614389,0.02838300593334929,3,raw_softmax
secondary/exploratory,smids,xception,equal_mean_of_7_device_corruptions,5,0.695271386621444,0.037698412323439734,3,raw_softmax
