analysis_tier,dataset,model,corruption_scope,severity,coverage,mean_risk,std_risk,n_replicates,mean_aurc,std_aurc,mean_risk_at_80,std_risk_at_80
secondary/exploratory,hushem,resnet50,clean,0,0.29,0.06425641025641025,0.08798671340435553,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.3,0.062051282051282054,0.08496721725400654,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.31,0.06008791208791209,0.08227876220984198,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.32,0.0581978021978022,0.07969062265239998,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.33,0.05641904761904761,0.07725496263477628,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.34,0.054780952380952375,0.07501190835165988,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.35000000000000003,0.05316666666666666,0.07280145660172832,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.36,0.05173333333333333,0.07083878410400148,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.37,0.0503,0.06887611160627463,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.38,0.049,0.06709601329438285,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.39,0.047735294117647056,0.06536424344344739,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.4,0.0465359477124183,0.06372197074243108,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.41000000000000003,0.045411764705882346,0.06218261976382179,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.42,0.044304093567251464,0.06066587859150788,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.43,0.043298245614035086,0.05928856455801535,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.44,0.04229239766081871,0.05791125052452282,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
