analysis_tier,dataset,model,corruption,severity,mean,std,n_replicates,method,metric
secondary/exploratory,hushem,resnet50,illumination,2,0.13660389938515785,0.035058847794217085,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,illumination,3,0.1352266112511808,0.020794347566761715,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,illumination,4,0.1614017490541708,0.03055304803631843,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,illumination,5,0.16758652142314018,0.03293013888136012,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,jpeg,1,0.1328374488661203,0.032111887137205086,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,jpeg,2,0.12647959223572341,0.026523143032723587,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,jpeg,3,0.1356406643388135,0.04332307091960868,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,jpeg,4,0.1544447479332476,0.05516799678462861,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,jpeg,5,0.17919520156391072,0.05746416250306103,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,motion_blur,1,0.12661810964660963,0.05161831177754638,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,motion_blur,2,0.13845526302591687,0.031707466289762204,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,motion_blur,3,0.18602161061562134,0.0270543247424785,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,motion_blur,4,0.23108011997968397,0.042043693445223546,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,motion_blur,5,0.1842547999029431,0.028037930968942353,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,resample,1,0.10874596191511088,0.03212295062521067,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,resample,2,0.15574166189414498,0.03974468770764157,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,resample,3,0.17856846884932626,0.05394510132191862,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,resample,4,0.17722451220292115,0.059194498967732656,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,resample,5,0.17298907331697025,0.06239155516877864,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,shot_noise,1,0.10152105509163714,0.030125281553275804,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,shot_noise,2,0.12052912504489019,0.033431902526662616,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,shot_noise,3,0.11388070944373749,0.04486714845531617,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,shot_noise,4,0.19305254912149578,0.015246524077226278,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,shot_noise,5,0.17109810643480894,0.08340576888572598,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,defocus_blur,1,0.4158468425273895,0.07569860857368275,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,defocus_blur,2,0.44405974745750426,0.07834876724573439,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,defocus_blur,3,0.5285695672035218,0.1171225400044372,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,defocus_blur,4,0.6632572174072265,0.17447672795887761,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,defocus_blur,5,0.9156602025032043,0.18581968665501564,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,gaussian_noise,1,0.5807419955730438,0.16271459429032986,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,gaussian_noise,2,0.7174430847167969,0.17776511339599224,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,gaussian_noise,3,0.8579396367073059,0.10284695321805912,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,gaussian_noise,4,1.0086552381515503,0.030544653815558383,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,gaussian_noise,5,1.166815996170044,0.030380305824589122,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,illumination,1,0.43994539976119995,0.06935474384681393,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,illumination,2,0.5250705659389496,0.08144960346693975,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,illumination,3,0.6352854132652282,0.10403522391544294,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,illumination,4,0.7334049701690674,0.12887652922990278,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,illumination,5,0.824564528465271,0.09279649847474691,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,jpeg,1,0.4435272991657257,0.10299081739127343,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,jpeg,2,0.5311785638332367,0.14413227361872272,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,jpeg,3,0.5851763784885406,0.12148853414879308,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,jpeg,4,0.6655180394649506,0.11373545192605386,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,jpeg,5,0.7982976913452149,0.1116337520811475,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,motion_blur,1,0.5124624788761138,0.07942701312919208,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,motion_blur,2,0.5683513224124909,0.0889135743896894,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,motion_blur,3,0.6535099506378174,0.12268246141474046,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,motion_blur,4,0.831006646156311,0.11432059686379338,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,motion_blur,5,1.0045906066894532,0.062465947657204875,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,resample,1,0.49955022931098936,0.10479308417747622,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,resample,2,0.5514415919780731,0.12103645431498015,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,resample,3,0.7848350405693054,0.18802631295195765,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,resample,4,1.0159709572792053,0.17992417585703743,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,resample,5,1.1405940055847168,0.08619514905303938,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,shot_noise,1,0.4266676723957062,0.06537908398760249,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,shot_noise,2,0.4711423635482788,0.08342606638500619,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,shot_noise,3,0.5839996814727784,0.1429902440031735,5,raw_softmax,mean_predictive_entropy
secondary/exploratory,hushem,resnet50,shot_noise,4,0.9324541211128234,0.10036360374831652,5,raw_softmax,mean_predictive_entropy
